"meta_id","term_id","meta_key","meta_value"
37,326,reference,"74-1-1"
38,339,reference,"74-2-1"
39,141,reference,"74-2-23"
40,141,reference,"74-2-23"
41,191,reference,"74-2-29"
42,280,reference,"74-2-49"
43,274,reference,"74-2-38"
44,282,reference,"74-2-60"
45,221,reference,"74-2-74"
46,241,reference,"74-2-83"
47,226,reference,"74-3-1"
48,222,reference,"74-3-9"
49,237,reference,"74-3-17"
50,251,reference,"74-3-25"
51,302,reference,"74-3-31"
52,168,reference,"74-3-43"
53,168,reference,"74-3-43"
54,155,reference,"74-3-48"
55,155,reference,"74-3-48"
56,179,reference,"74-3-52"
57,163,reference,"74-3-59"
58,309,reference,"74-3-63"
59,325,reference,"74-3-78"
60,337,reference,"74-4-1"
61,329,reference,"74-6-1"
62,305,reference,"74-6-19"
63,132,reference,"74-6-36"
64,198,reference,"74-6-41"
65,209,reference,"74-6-48"
66,115,reference,"74-6-58"
67,142,reference,"74-6-61"
68,290,reference,"74-6-65"
69,173,reference,"74-7-1"
70,173,reference,"74-7-1"
71,129,reference,"74-7-6"
72,184,reference,"74-7-10"
73,137,reference,"74-7-15"
74,218,reference,"74-8-1"
75,125,reference,"74-8-9"
76,102,reference,"74-9-1"
77,105,reference,"74-9-3"
78,105,reference,"74-9-3"
79,151,reference,"74-9-5"
80,117,reference,"74-9-11"
81,206,reference,"74-9-14"
82,194,reference,"74-9-23"
83,127,reference,"74-9-31"
84,138,reference,"74-9-36"
85,112,reference,"74-9-38"
86,205,reference,"74-9-42"
87,199,reference,"74-9-51"
88,118,reference,"74-9-61"
89,159,reference,"74-9-66"
90,181,reference,"74-9-71"
91,266,reference,"74-9-77"
92,187,reference,"74-9-89"
93,244,reference,"74-9-98"
141,100,reference,"74-10-1"
142,264,reference,"74-10-3"
144,279,reference,"74-10-13"
153,161,reference,"74-10-27"
154,234,reference,"74-10-34"
156,327,reference,"74-10-41"
157,258,reference,"74-10-63"
158,233,reference,"74-10-74"
159,157,reference,"74-10-82"
160,255,reference,"74-10-86"
161,230,reference,"74-10-97"
163,210,reference,"74-11-1"
164,257,reference,"74-11-9"
165,146,reference,"74-11-20"
167,278,reference,"74-11-24"
168,223,reference,"74-11-37"
169,208,reference,"74-11-44"
170,166,reference,"74-11-52"
171,193,reference,"74-11-58"
172,316,reference,"74-11-66"
173,334,reference,"74-11-82"
174,324,reference,"74-11-104"
175,288,reference,"74-11-124"
177,176,reference,"74-11-137"
178,289,reference,"74-11-146"
180,270,reference,"74-11-159"
182,301,reference,"74-11-174"
183,242,reference,"74-11-191"
184,136,reference,"74-11-202"
185,172,reference,"74-11-208"
186,147,reference,"74-11-213"
188,340,reference,"74-11-220"
189,201,reference,"74-11-247"
190,106,reference,"74-11-255"
191,292,reference,"74-11-257"
192,263,reference,"74-11-273"
193,225,reference,"74-11-286"
194,144,reference,"74-11-300"
195,158,reference,"74-11-305"
196,236,reference,"74-11-313"
197,203,reference,"74-12-1"
198,145,reference,"74-12-7"
199,293,reference,"74-12-12"
200,273,reference,"74-12-25"
201,319,reference,"74-12-36"
202,177,reference,"74-12-50"
203,177,reference,"74-12-50"
204,107,reference,"74-12-60"
205,294,reference,"74-12-64"
206,197,reference,"74-12-81"
207,328,reference,"74-12-89"
208,296,reference,"74-12-107"
209,281,reference,"74-12-118"
210,314,reference,"74-13-1"
212,313,reference,"74-13-17"
213,285,reference,"74-13-32"
214,310,reference,"74-13-49"
215,121,reference,"74-13-62"
216,121,reference,"74-13-62"
217,207,reference,"74-13-64"
218,271,reference,"74-13-72"
219,183,reference,"74-13-83"
220,183,reference,"74-13-83"
221,171,reference,"74-13-90"
222,171,reference,"74-13-90"
223,192,reference,"74-13-98"
224,220,reference,"74-13-104"
225,133,reference,"74-13-112"
226,133,reference,"74-13-112"
227,272,reference,"74-13-119"
228,297,reference,"74-13-129"
229,265,reference,"74-13-141"
230,224,reference,"74-13-153"
231,211,reference,"74-13-165"
232,275,reference,"74-13-171"
233,332,reference,"74-13-182"
234,332,reference,"74-13-182"
235,247,reference,"74-14-1"
236,143,reference,"74-14-10"
237,103,reference,"74-14-14"
238,120,reference,"74-14-16"
239,120,reference,"74-14-16"
240,139,reference,"74-14-20"
241,139,reference,"74-14-20"
242,131,reference,"74-14-24"
243,131,reference,"74-14-24"
244,269,reference,"74-14-28"
245,331,reference,"74-14-37"
246,331,reference,"74-14-37"
247,308,reference,"74-14-60"
248,239,reference,"74-14-74"
249,238,reference,"74-14-83"
250,304,reference,"74-14-93"
251,304,reference,"74-14-93"
252,174,reference,"74-14-107"
253,276,reference,"74-14-113"
254,276,reference,"74-14-113"
255,153,reference,"74-14-122"
256,190,reference,"74-14-128"
257,246,reference,"74-14-136"
258,287,reference,"74-14-146"
259,287,reference,"74-14-146"
260,101,reference,"74-14-161"
261,259,reference,"74-14-164"
262,126,reference,"74-14-171"
263,318,reference,"74-14-175"
264,260,reference,"74-15-1"
265,200,reference,"74-15-11"
266,167,reference,"74-15-19"
267,215,reference,"74-15-25"
268,215,reference,"74-15-25"
269,306,reference,"74-15-34"
270,277,reference,"74-15-48"
271,140,reference,"74-15-61"
272,228,reference,"74-15-67"
273,245,reference,"74-15-76"
274,320,reference,"74-15-87"
275,178,reference,"74-15-105"
276,178,reference,"74-15-105"
277,338,reference,"74-16-1"
278,229,reference,"74-16-25"
279,164,reference,"74-16-35"
280,204,reference,"74-16-43"
281,170,reference,"74-16-52"
282,170,reference,"74-16-52"
283,216,reference,"74-16-59"
284,291,reference,"74-16-67"
285,175,reference,"74-16-76"
286,186,reference,"74-16-83"
287,150,reference,"74-16-92"
288,165,reference,"74-16-99"
289,283,reference,"74-16-104"
290,135,reference,"74-17-1"
291,135,reference,"74-17-1"
292,149,reference,"74-17-6"
293,295,reference,"74-17-12"
294,252,reference,"74-17-26"
295,154,reference,"74-17-36"
296,315,reference,"74-17-44"
297,182,reference,"74-17-62"
298,335,reference,"74-17-71"
299,214,reference,"74-17-92"
300,160,reference,"74-17-100"
301,99,reference,"74-17-106"
302,109,reference,"74-17-109"
303,98,reference,"74-17-112"
304,98,reference,"74-17-112"
305,243,reference,"74-17-113"
306,156,reference,"74-17-120"
307,169,reference,"74-17-125"
308,169,reference,"74-17-125"
309,113,reference,"74-17-131"
310,113,reference,"74-17-131"
311,110,reference,"74-17-132"
312,110,reference,"74-17-132"
313,196,reference,"74-17-135"
314,333,reference,"74-18-1"
315,336,reference,"74-20-1"
316,254,reference,"74-22-1"
317,286,reference,"74-22-10"
318,321,reference,"74-22-23"
319,322,reference,"74-22-39"
320,253,reference,"74-22-56"
321,256,reference,"74-22-66"
322,330,reference,"74-22-78"
323,202,reference,"74-22-99"
324,300,reference,"74-22-106"
325,323,reference,"74-22-118"
326,122,reference,"74-22-136"
327,122,reference,"74-22-136"
328,148,reference,"74-22-137"
329,148,reference,"74-22-137"
330,123,reference,"74-22-142"
331,123,reference,"74-22-142"
332,249,reference,"74-22-146"
333,262,reference,"74-22-155"
334,298,reference,"74-22-166"
335,130,reference,"74-22-178"
336,231,reference,"74-22-181"
337,217,reference,"74-22-191"
338,180,reference,"74-23-1"
339,114,reference,"74-23-6"
340,299,reference,"74-23-9"
341,212,reference,"74-23-23"
342,128,reference,"74-23-33"
343,152,reference,"74-23-36"
344,307,reference,"74-23-43"
345,307,reference,"74-23-43"
346,195,reference,"74-24-1"
347,284,reference,"74-24-7"
348,284,reference,"74-24-7"
349,317,reference,"74-24-18"
350,317,reference,"74-24-18"
351,189,reference,"74-25-1"
352,213,reference,"74-25-8"
353,134,reference,"74-25-17"
354,108,reference,"74-25-24"
355,303,reference,"74-25-26"
356,303,reference,"74-25-26"
357,248,reference,"74-26-1"
358,185,reference,"74-26-13"
359,232,reference,"74-26-18"
360,219,reference,"74-27-1"
361,235,reference,"74-27-9"
362,267,reference,"74-27-19"
363,267,reference,"74-27-19"
364,104,reference,"74-28-1"
365,124,reference,"74-28-4"
366,261,reference,"74-28-7"
367,250,reference,"74-28-18"
368,119,reference,"74-28-30"
369,119,reference,"74-28-30"
370,116,reference,"74-28-35"
371,116,reference,"74-28-35"
372,240,reference,"74-28-38"
373,240,reference,"74-28-38"
374,227,reference,"74-28-48"
375,311,reference,"74-28-58"
376,162,reference,"74-28-72"
377,312,reference,"74-29-1"
378,312,reference,"74-29-1"
379,188,reference,"74-29-14"
380,268,reference,"74-29-22"
381,268,reference,"74-29-22"
383,111,reference,"344-1-1"
384,111,reference,"344-1-1"
